Session ID,Obs Date,Time,Period of Day,Common Name,Species,Count,Obs #,Picture ID,Temp C,Temp F,Notes,Type,Species ID
4_5,2/2/2023,4:29 AM,night,Common Raccoon,Procyon lotor,1,9_02,0079,3,37,,mammal,
4_5,2/2/2023,5:04 AM,night,American Beaver,Castor canadensis,1,10,0083,3,37,,mammal,
4_5,2/2/2023,5:18 AM,night,White-tailed deer,Odocoileus virginianus,1,11,0085,3,37,,mammal,
4_5,2/3/2023,1:01 AM,night,White-tailed deer,Odocoileus virginianus,1,12,0087,5,41,,mammal,
4_5,2/3/2023,1:02 AM,night,White-tailed deer,Odocoileus virginianus,1,12_02,0089,6,42,,mammal,
4_5,2/3/2023,7:44 AM,dawn,Eastern Gray Squirrel,Sciurus carolinensis,1,13,0091,3,37,,mammal,
4_5,2/3/2023,8:24 PM,night,White-tailed deer,Odocoileus virginianus,1,14,0093,0,32,,mammal,
4_5,2/4/2023,7:12 AM,dawn,Eastern Gray Squirrel,Sciurus carolinensis,1,15,0095,-5,23,,mammal,
4_5,2/5/2023,6:58 AM,dawn,Eastern Gray Squirrel,Sciurus carolinensis,1,16,0097,-2,28,,mammal,
5_5,1/30/2023,6:46 PM,dusk,White-tailed deer,Odocoileus virginianus,1,1,0107,11,51,,mammal,
5_5,1/30/2023,6:46 PM,dusk,White-tailed deer,Odocoileus virginianus,1,1_02,0109,11,51,,mammal,
5_5,1/30/2023,6:46 PM,dusk,White-tailed deer,Odocoileus virginianus,1,1_03,0111,11,51,,mammal,
5_5,1/30/2023,6:46 PM,dusk,White-tailed deer,Odocoileus virginianus,4,1_04,0113,11,51,,mammal,
5_5,1/30/2023,6:47 PM,dusk,White-tailed deer,Odocoileus virginianus,4,1_05,0115,11,51,,mammal,
5_5,1/30/2023,6:47 PM,dusk,White-tailed deer,Odocoileus virginianus,3,1_06,0117,12,53,,mammal,
5_5,1/30/2023,6:47 PM,dusk,White-tailed deer,Odocoileus virginianus,3,1_07,0119,12,53,,mammal,
5_5,1/30/2023,6:49 PM,dusk,White-tailed deer,Odocoileus virginianus,1,1_08,0121,12,53,,mammal,
5_5,1/30/2023,6:49 PM,dusk,White-tailed deer,Odocoileus virginianus,2,1_09,0123,12,53,,mammal,
5_5,1/30/2023,6:49 PM,dusk,White-tailed deer,Odocoileus virginianus,2,1_10,0125,12,53,,mammal,
5_5,1/30/2023,6:50 PM,dusk,White-tailed deer,Odocoileus virginianus,1,1_11,0127,12,53,,mammal,
5_5,1/30/2023,9:26 PM,night,White-tailed deer,Odocoileus virginianus,1,2,0129,9,48,,mammal,
5_5,1/30/2023,9:29 PM,night,White-tailed deer,Odocoileus virginianus,1,3,0131,9,48,,mammal,
5_5,1/30/2023,9:29 PM,night,White-tailed deer,Odocoileus virginianus,1,3_02,0133,9,48,,mammal,
5_5,1/30/2023,9:29 PM,night,White-tailed deer,Odocoileus virginianus,2,3_03,0135,10,50,,mammal,
5_5,1/30/2023,9:30 PM,night,White-tailed deer,Odocoileus virginianus,1,3_04,0137,10,50,,mammal,
5_5,1/30/2023,9:31 PM,night,White-tailed deer,Odocoileus virginianus,1,3_05,0139,10,50,,mammal,
5_5,1/30/2023,9:32 PM,night,White-tailed deer,Odocoileus virginianus,1,3_06,0143,10,50,,mammal,
5_5,1/30/2023,9:32 PM,night,White-tailed deer,Odocoileus virginianus,1,3_07,0145,11,51,,mammal,
5_5,1/31/2023,9:33 AM,day,Great Blue Heron,Ardea herodias,1,4,0147,11,51,,mammal,
5_5,2/1/2023,6:02 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5,0149,4,39,,mammal,
5_5,2/1/2023,6:03 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5_02,0151,4,39,,mammal,
5_5,2/1/2023,6:04 PM,dusk,White-tailed deer,Odocoileus virginianus,2,5_03,0153,5,41,,mammal,
5_5,2/1/2023,6:04 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5_04,0155,5,41,,mammal,
5_5,2/1/2023,6:04 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5_05,0157,5,41,,mammal,
5_5,2/1/2023,6:05 PM,dusk,White-tailed deer,Odocoileus virginianus,2,5_06,0159,5,41,,mammal,
5_5,2/1/2023,6:05 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5_07,0161,5,41,,mammal,
5_5,2/1/2023,6:05 PM,dusk,White-tailed deer,Odocoileus virginianus,3,5_08,0163,6,42,,mammal,
5_5,2/1/2023,6:06 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5_09,0165,6,42,,mammal,
5_5,2/1/2023,6:06 PM,dusk,White-tailed deer,Odocoileus virginianus,3,5_10,0167,6,42,,mammal,
5_5,2/1/2023,6:06 PM,dusk,White-tailed deer,Odocoileus virginianus,3,5_11,0169,6,42,,mammal,
5_5,2/3/2023,1:03 AM,night,White-tailed deer,Odocoileus virginianus,1,6,0171,5,41,,mammal,
8_5,1/30/2023,9:04 PM,night,White-tailed deer,Odocoileus virginianus,1,1,0030,9,48,,mammal,
12_3,1/30/2023,9:09 PM,night,White-tailed deer,Odocoileus virginianus,2,1,0016,9,48,,mammal,
12_3,2/3/2023,6:06 AM,dawn,White-tailed deer,Odocoileus virginianus,1,2,0018,3,37,,mammal,
12_3,2/4/2023,6:49 AM,dawn,White-tailed deer,Odocoileus virginianus,2,3,0024,-6,21,,mammal,
12_3,2/4/2023,6:49 AM,dawn,White-tailed deer,Odocoileus virginianus,2,3_02,0026,-6,21,,mammal,
12_3,2/4/2023,6:50 AM,dawn,White-tailed deer,Odocoileus virginianus,2,3_03,0028,-5,23,,mammal,
12_3,2/4/2023,6:50 AM,dawn,White-tailed deer,Odocoileus virginianus,2,3_04,0030,-5,23,,mammal,
12_3,2/4/2023,6:50 AM,dawn,White-tailed deer,Odocoileus virginianus,2,3_05,0032,-5,23,,mammal,
